"checked_at","package_root","item","exists","bytes"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","README_high_impact_figure_table_design.md","True","2185"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","main_figures\main_figure_catalog_high_impact.csv","True","9032"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","extended_figures\extended_figure_catalog_high_impact.csv","True","4351"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","tables\main_table_catalog_high_impact.csv","True","1515"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","tables\supplementary_table_catalog_high_impact.csv","True","5723"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","source_mapping\display_source_data_map.csv","True","12815"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","source_mapping\claim_to_display_crosswalk.csv","True","2283"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","reviewer_strategy\reviewer_concern_response_matrix.csv","True","1454"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_figure_table_design_2026-06-11","High_Impact_Figure_Table_Design_2026-06-11.xlsx","True","24760"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","README_high_impact_figure_table_design.md","True","2185"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","main_figures\main_figure_catalog_high_impact.csv","True","9032"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","extended_figures\extended_figure_catalog_high_impact.csv","True","4351"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","tables\main_table_catalog_high_impact.csv","True","1515"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","tables\supplementary_table_catalog_high_impact.csv","True","5723"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","source_mapping\display_source_data_map.csv","True","12815"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","source_mapping\claim_to_display_crosswalk.csv","True","2283"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","reviewer_strategy\reviewer_concern_response_matrix.csv","True","1454"
"2026-06-11 00:27:43","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_figure_table_design_2026-06-11","High_Impact_Figure_Table_Design_2026-06-11.xlsx","True","24760"
