sample_id,sample_label,outcome,outcome_label,exposure,exposure_label,exposure_type,include_creatinine,include_total_burden,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,main_beta,main_effect,main_p_value,same_direction_as_main,beta_ratio_vs_main,retained_80_percent_of_main,robustness_decision
full,Full analytic sample,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1969,0.12276952390140039,0.038074769752343675,0.003291516401864309,0.12276952390140039,0.04464654941558113,0.20089249838721965,Nominal positive,0.005678438575417216,"0.123 (0.045, 0.201)",0.003,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,TRUE,1,TRUE,Reference
full,Full analytic sample,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1969,0.13537779805088562,0.04337212467530768,0.004258828931562912,0.13537779805088562,0.04638554907750174,0.2243700470242695,Nominal positive,0.005678438575417216,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,TRUE,1,TRUE,Reference
full,Full analytic sample,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1969,0.010833756001271498,0.026600008888977286,0.6868965321720137,1.089265363786529,-4.27147759540043,6.750206888172405,Positive direction,0.6868965321720137,"1.089 (-4.271, 6.750)",0.687,0.687,Positive but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,TRUE,1,TRUE,Reference
full,Full analytic sample,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1970,0.13216413062697885,0.03920571177682573,0.0021355101677791683,14.129562546204832,5.335409245151812,23.657914658812594,Nominal positive,0.008542040671116673,"14.130 (5.335, 23.658)",0.002,0.009,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,TRUE,1,TRUE,Reference
full,Full analytic sample,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1969,0.12376016818995907,0.042085593339632056,0.00664168649758235,13.17444101376144,3.8116136615970353,23.38170698829616,Nominal positive,0.012107976786689165,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association,0.12376016818995907,13.17444101376144,0.00664168649758235,TRUE,1,TRUE,Reference
full,Full analytic sample,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1969,0.1359593518587169,0.048365494453913166,0.009080982590016873,14.563532470186136,3.7404119999080887,26.515816922522163,Nominal positive,0.012107976786689165,"14.564 (3.740, 26.516)",0.009,0.012,FDR-significant positive association,0.1359593518587169,14.563532470186136,0.009080982590016873,TRUE,1,TRUE,Reference
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1706,0.07472259035702726,0.020782130609209654,0.0012285994734183986,7.758517689821942,3.2674796128280725,12.444868202876314,Nominal positive,0.002457198946836797,"7.759 (3.267, 12.445)",0.001,0.002,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,TRUE,0.6995421621136061,FALSE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1707,0.17101157128755612,0.04603296662558152,8.622875193947114e-4,18.650447832678395,7.989475080571751,30.36389667040693,Nominal positive,0.002457198946836797,"18.650 (7.989, 30.364)",<0.001,0.002,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,TRUE,0.8112241581561167,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1706,0.13352670368049083,0.05380557164059,0.019595776625874285,14.28517840765271,2.339628756470291,27.625067262550917,Nominal positive,0.024029818621673464,"14.285 (2.340, 27.625)",0.020,0.024,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,TRUE,0.9721124818180584,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1706,0.1489898952916046,0.062308765447442245,0.024029818621673464,16.066126100624235,2.136796293392673,31.895126114088622,Nominal positive,0.024029818621673464,"16.066 (2.137, 31.895)",0.024,0.024,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,TRUE,0.9737210489620702,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,3530,0.0318509022843762,0.0133445059684555,0.024558920327892034,0.0318509022843762,0.0044208774220704,0.059280927146682,Nominal positive,0.024558920327892034,"0.032 (0.004, 0.059)",0.025,0.025,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,TRUE,0.36094304722552617,FALSE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,3531,0.03674631100408918,0.014068487749854364,0.014524831187925856,0.03674631100408918,0.007880158518208936,0.06561246348996942,Nominal positive,0.01936644158390114,"0.037 (0.008, 0.066)",0.015,0.019,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,TRUE,0.5438763067313014,FALSE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,3530,0.044375273968144086,0.0164065069783092,0.01212453810348267,0.044375273968144086,0.010585440330300282,0.07816510760598788,Nominal positive,0.01936644158390114,"0.044 (0.011, 0.078)",0.012,0.019,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,TRUE,0.6583005485128111,FALSE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,3530,0.05568218052228908,0.019192018798921462,0.007643775053169597,0.05568218052228908,0.016155477900744286,0.09520888314383387,Nominal positive,0.01936644158390114,"0.056 (0.016, 0.095)",0.008,0.019,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,TRUE,0.683880168705229,FALSE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1690,-0.01762952897557947,0.022876349927339855,0.4473720679779428,-0.01762952897557947,-0.06448960754494956,0.029230549593790615,Negative direction,0.4473720679779428,"-0.018 (-0.064, 0.029)",0.447,0.447,Negative but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,FALSE,-1.2588458205858588,FALSE,Direction changed
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1691,0.1005945503375847,0.03457580654042419,0.006885155422812306,0.1005945503375847,0.029879085900463342,0.17131001477470606,Nominal positive,0.013181758209775078,"0.101 (0.030, 0.171)",0.007,0.013,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,TRUE,0.7625288602658152,FALSE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1690,0.1176068370967048,0.040357742222811785,0.007084626149932365,0.1176068370967048,0.034799590027694685,0.20041408416571493,Nominal positive,0.013181758209775078,"0.118 (0.035, 0.200)",0.007,0.013,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,TRUE,0.9579481402172587,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1690,0.12995864172632415,0.04682373907566343,0.009886318657331309,0.12995864172632415,0.03388426499516756,0.22603301845748075,Nominal positive,0.013181758209775078,"0.130 (0.034, 0.226)",0.010,0.013,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,TRUE,0.9599701250678895,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1690,-0.016267383695969022,0.02755806488444504,0.5597274512820967,-1.6135784368371264,-7.013653981540879,4.100100310241306,Negative direction,0.5597274512820967,"-1.614 (-7.014, 4.100)",0.560,0.560,Negative but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,FALSE,-1.501546065285189,FALSE,Direction changed
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1691,0.10978914509412709,0.04165398458725895,0.013340878775331733,11.604272256439764,2.4902187393054165,21.52880283699494,Nominal positive,0.02548229447303491,"11.604 (2.490, 21.529)",0.013,0.025,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,TRUE,0.8307030400252614,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1690,0.12425530616155661,0.04719859701233874,0.01384351562045644,13.230491852225779,2.779094399192572,24.744670694410132,Nominal positive,0.02548229447303491,"13.230 (2.779, 24.745)",0.014,0.025,FDR-significant positive association,0.12376016818995907,13.17444101376144,0.00664168649758235,TRUE,1.004000786188635,TRUE,Robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1690,0.13709114856577154,0.05499820245274594,0.019111720854776183,14.693268502542622,2.4540437531131776,28.394598767572976,Nominal positive,0.02548229447303491,"14.693 (2.454, 28.395)",0.019,0.025,FDR-significant positive association,0.1359593518587169,14.563532470186136,0.009080982590016873,TRUE,1.008324522672267,TRUE,Robust positive
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.13735725667339166,14.72379337245815,0.008499389515992934,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.15301086019493892,16.533763466789807,0.010875349734191206,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.06740883638695694,0.06740883638695694,0.004601609377479215,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.08142096096705154,0.08142096096705154,0.004569869256663978,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.014004518017444583,0.014004518017444583,0.551640527367594,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.12276952390140039,0.12276952390140039,0.003291516401864309,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.13537779805088562,0.13537779805088562,0.004258828931562912,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.010833756001271498,1.089265363786529,0.6868965321720137,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.13216413062697885,14.129562546204832,0.0021355101677791683,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.12376016818995907,13.17444101376144,0.00664168649758235,NA,NA,NA,Unclear
no_medication,Exclude antidiabetic medication users,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,NA,NA,0,NA,NA,NA,NA,NA,NA,Insufficient sample,NA,NA,NA,NA,Weak/no association,0.1359593518587169,14.563532470186136,0.009080982590016873,NA,NA,NA,Unclear
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1706,0.07472259035702726,0.020782130609209654,0.0012285994734183986,7.758517689821942,3.2674796128280725,12.444868202876314,Nominal positive,0.002457198946836797,"7.759 (3.267, 12.445)",0.001,0.002,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,TRUE,0.6995421621136061,FALSE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1707,0.17101157128755612,0.04603296662558152,8.622875193947114e-4,18.650447832678395,7.989475080571751,30.36389667040693,Nominal positive,0.002457198946836797,"18.650 (7.989, 30.364)",<0.001,0.002,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,TRUE,0.8112241581561167,TRUE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1706,0.13352670368049083,0.05380557164059,0.019595776625874285,14.28517840765271,2.339628756470291,27.625067262550917,Nominal positive,0.024029818621673464,"14.285 (2.340, 27.625)",0.020,0.024,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,TRUE,0.9721124818180584,TRUE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1706,0.1489898952916046,0.062308765447442245,0.024029818621673464,16.066126100624235,2.136796293392673,31.895126114088622,Nominal positive,0.024029818621673464,"16.066 (2.137, 31.895)",0.024,0.024,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,TRUE,0.9737210489620702,TRUE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,3530,0.0318509022843762,0.0133445059684555,0.024558920327892034,0.0318509022843762,0.0044208774220704,0.059280927146682,Nominal positive,0.024558920327892034,"0.032 (0.004, 0.059)",0.025,0.025,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,TRUE,0.36094304722552617,FALSE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,3531,0.03674631100408918,0.014068487749854364,0.014524831187925856,0.03674631100408918,0.007880158518208936,0.06561246348996942,Nominal positive,0.01936644158390114,"0.037 (0.008, 0.066)",0.015,0.019,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,TRUE,0.5438763067313014,FALSE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,3530,0.044375273968144086,0.0164065069783092,0.01212453810348267,0.044375273968144086,0.010585440330300282,0.07816510760598788,Nominal positive,0.01936644158390114,"0.044 (0.011, 0.078)",0.012,0.019,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,TRUE,0.6583005485128111,FALSE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,3530,0.05568218052228908,0.019192018798921462,0.007643775053169597,0.05568218052228908,0.016155477900744286,0.09520888314383387,Nominal positive,0.01936644158390114,"0.056 (0.016, 0.095)",0.008,0.019,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,TRUE,0.683880168705229,FALSE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1690,-0.01762952897557947,0.022876349927339855,0.4473720679779428,-0.01762952897557947,-0.06448960754494956,0.029230549593790615,Negative direction,0.4473720679779428,"-0.018 (-0.064, 0.029)",0.447,0.447,Negative but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,FALSE,-1.2588458205858588,FALSE,Direction changed
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1691,0.1005945503375847,0.03457580654042419,0.006885155422812306,0.1005945503375847,0.029879085900463342,0.17131001477470606,Nominal positive,0.013181758209775078,"0.101 (0.030, 0.171)",0.007,0.013,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,TRUE,0.7625288602658152,FALSE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1690,0.1176068370967048,0.040357742222811785,0.007084626149932365,0.1176068370967048,0.034799590027694685,0.20041408416571493,Nominal positive,0.013181758209775078,"0.118 (0.035, 0.200)",0.007,0.013,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,TRUE,0.9579481402172587,TRUE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1690,0.12995864172632415,0.04682373907566343,0.009886318657331309,0.12995864172632415,0.03388426499516756,0.22603301845748075,Nominal positive,0.013181758209775078,"0.130 (0.034, 0.226)",0.010,0.013,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,TRUE,0.9599701250678895,TRUE,Robust positive
no_diagnosed_or_med,Exclude diagnosed diabetes or medication users,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1690,-0.016267383695969022,0.02755806488444504,0.5597274512820967,-1.6135784368371264,-7.013653981540879,4.100100310241306,Negative direction,0.5597274512820967,"-1.614 (-7.014, 4.100)",0.560,0.560,Negative but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,FALSE,-1.501546065285189,FALSE,Direction changed
