block,feature,endpoint,n,pearson_r,p,q
lipids,LCER(16:0),stanford_msi,36,-0.5888697119258229,0.00010319882585968998,0.06728563446051787
lipids,LPC(18:1),stanford_msi,36,-0.5582485215575431,0.00029379290548924226,0.09577648718949297
lipids,LPC(18:2),stanford_msi,36,-0.5222932874643547,0.0008718787957461768,0.1089671282798369
lipids,TAG54:6-FA20:4,stanford_msi,36,0.5196779690261989,0.0009386927183705356,0.1089671282798369
lipids,TAG54:7-FA20:4,stanford_msi,36,0.49212473715507504,0.0019647044739459414,0.1089671282798369
lipids,TAG54:4-FA20:2,stanford_msi,36,0.48466970286094435,0.0023714867931408506,0.1089671282798369
lipids,TAG56:8-FA20:4,stanford_msi,36,0.4821302875703014,0.0025257583309800467,0.1089671282798369
lipids,TAG52:6-FA20:4,stanford_msi,36,0.479697416191618,0.0026816127146138376,0.1089671282798369
lipids,TAG56:7-FA20:4,stanford_msi,36,0.4782372887199115,0.002779081101881722,0.1089671282798369
lipids,TAG54:5-FA20:2,stanford_msi,36,0.47246553850313644,0.0031948818479534107,0.1089671282798369
lipids,TAG54:5-FA20:3,stanford_msi,36,0.4661924826463683,0.003706453130932203,0.1089671282798369
lipids,TAG52:4-FA22:4,stanford_msi,36,0.4651193528953068,0.003800659697829388,0.1089671282798369
lipids,TAG52:5-FA20:4,stanford_msi,36,0.4624651188980266,0.004042533972060651,0.1089671282798369
lipids,TAG52:4-FA20:2,stanford_msi,36,0.4515370814130731,0.005182388408423713,0.1089671282798369
lipids,TAG48:3-FA16:1,stanford_msi,36,0.4507292830212028,0.00527656248411591,0.1089671282798369
lipids,TAG54:5-FA22:4,stanford_msi,36,0.44651617249130426,0.0057917277240230125,0.1089671282798369
lipids,TAG56:3-FA20:2,stanford_msi,36,0.44630053905696837,0.005819206884677914,0.1089671282798369
lipids,TAG54:5-FA16:0,stanford_msi,36,0.44597075201583153,0.005861447673266752,0.1089671282798369
lipids,TAG54:4-FA16:0,stanford_msi,36,0.442835846842848,0.006276174402711017,0.1089671282798369
lipids,TAG52:2-FA20:2,stanford_msi,36,0.4425558245773267,0.006314402565213422,0.1089671282798369
lipids,TAG50:2-FA18:0,stanford_msi,36,0.442203805454869,0.006362740009585871,0.1089671282798369
lipids,PC(18:1/18:1),stanford_msi,36,-0.44176570059025627,0.006423336833991817,0.1089671282798369
lipids,TAG54:2-FA20:2,stanford_msi,36,0.44083660818322956,0.006553467770382297,0.1089671282798369
lipids,TAG54:4-FA22:4,stanford_msi,36,0.44038908829679313,0.0066169424983693005,0.1089671282798369
lipids,TAG54:5-FA20:4,stanford_msi,36,0.43993448927818485,0.006681954575851217,0.1089671282798369
